answer,question
" أن التمارين الرياضية للحامل بصفة عامة لها فوائد لا حصر لها أثناء الحمل وبعد الولادة، إلا أن الحامل تمنع من ممارسة التمارين الرياضية في الثلث الأول من الحمل من دون استشارة الطبيب والمدرب المتابعين لحالتها الصحية، إذ نجد بعض الحالات قد يكون لديها الموانع الطبية للممارسة التمارين الرياضية في الأشهر الأولى للحمل، مثل "" حدوث الإجهاض المتكرر سابقا، وجود إجهاض منذر، الضعف العام والهبوط المستمر""، وفي هذه الحالات، قد تحتاج الحامل للراحة التامة والامتناع عن ممارسة أي مجهود.",ما فوائد التمارين الرياضية للحامل ؟
"تمارين اليوجا والتمدد البسيطة في الشهر الأول والثاني والثالث.
تمارين اليوجا، السباحة، رفع الاثقال، الاسكوات في الشهر الرابع والخامس والسادس.
تمارين المشي، السباحة، التمدد في الشهرالسابع والثامن.
تمارين السباحة، المشي وكل التمارين التي يحددها المدرب المختص لتسهيل الولادة في الشهر التاسع.",ما أفضل تمارين رياضية للحامل خلال شهور الحمل ؟
"تحسين نظام النوم.
تحسين المزاج.
تخفيف التوتر والقلق.
تسريع وتسهيل الولادة.
تقليل فرصة الإصابة بالإمساك وألم الظهر.
تقليل فرصة الإصابة بسكري الحمل (بالإنجليزية: Gestational Diabetes).
تقليل فرصة الإصابة بحالات تسمم الحمل (بالإنجليزية: Preeclampsia).
زيادة التحكم بالوزن خلال الحمل وبعد الولادة.",ما فوائد لممارسة التمارين الرياضية المتوسطة الحدة للحامل ؟
"المحافظة على شرب الماء باستمرار وبشكل منتظم.
ارتداء ملابس فضفاضة.
ارتداء احذية مناسبة وغير قابلة للانزلاق.
تخفيف حدة التمارين عند الشعور بالتعبومعرفة وقت التوقف والراحة.
التنفس بشكل جيد خلال التمارين ومراقبة معدل ضربات القلب.",ما النصائح التي يفضل للحامل اتباعها عند ممارسة التمارين الرياضية ؟
"التمارين ذات الحدة العالية.
التمارين التي تتضمن احتكاك جسدي ومخاطر السقوط مثل الجمباز.
التمارين التي تضع ضغطاَ شديداً على الحوض والبطن بشكل شديد.
",تجنب الأمور التالية عند ممارسة التمارين للحامل ؟
"نعم، في الشهر الثالث من الممكن ان يحدث تغيير بالوزن نتيجه لزيادة في كمية السوائل وتكون الرحم . ومن الطبيعي زيادة في الوزن تتراوح بين ١ الئ ٢ كيلوغرام ",هل من الممكن ان يكون لدي تغيرات في الوزن في الشهر الثالث؟
"يمكن الاطمئنان على صحة الجنين بمراجعة الطبيب وإجراء الفحوصات السريرية والمخبرية اللازمة، كما يلي: تصوير السونار وذلك للتأكد من صحة الجنين ونموه وعمره. حيث يتم استخدام التصوير بالموجات الفوق صوتية لمعرفة ما يلي في الثلث الأول من الحمل: معرفة عدد الأجنة.",انا حامل في الشهر الثالث كيف اعرف ان جنيني بخير؟
"
الغثيان والتقيؤ. التعب والإرهاق. الإمساك والغازات. تغيرات الثدي، مثل: التورم، والحكة، وتغير لون الحلمتين للون غامق.",ما هي الالام التي تشعر بها الحامل في الشهر الثالث؟
"لإجهاض غالبًا ما يحدث خلال الأشهر الثلاثة الأولى من الحمل، كما أنه من الممكن أن يحدث بعد أسبوع أو أسبوعين من انقطاع الدورة. إذا كانت الخسارة أو فقدان الجنين قبل الأسبوع 12 من الحمل، يسمى الاجهاض المبكر، أما إذا حدث بعد الأسبوع 24 فإنه يعرف بالإجهاض في المراحل المتأخرة من الحمل.",متى يتعدى الجنين مرحلة الخطر؟
بعد الشهور الثلاثة الأولى يصبح النوم على البطن للحامل من الأمور المستحيلة وذلك لعدة أسباب أهمها: شعور الحامل بالانزعاج وعدم الراحة نتيجة زيادة حجم الرحم وثقل البطن. الشعور بالدوخة أو الدوار في حالة النوم على البطن لفترة طويلة.,هل يمكن النوم على البطن في الشهر الثالث من الحمل؟
"أما بالنسبة للهرولة والركض فهما يعدان من أفضل الرياضات للقلب والجسم عمومًا حتى لك كامرأة حامل يمكنك ممارستها، ولكن وكما ينصح الأطباء عادة فإنه يسمح بذلك بعد انتهاء الشهر الثالث وبما لا يزيد عن 15 دقيقة.",هل المشي يضر الحامل في الشهر الثالث من الحمل؟
"خذي حماماً دافئاً او استلقي على ظهرك او احد جانبيك، حتى تسترخي بما يكفي لاستشعار حركة صغيرة.
غيري وضعية الجلوس التي انت فيها.
تناولي وجبة خفيفة ثم استلقي لتسترخي.
ربتي بخفة على بطنك وانتظري من طفلك ان يستجيب.
دلكي بطنك بحركات دائرية خفيفة. 
ضعي كمادة باردة على بطنك.",ما هي الطريقة التي تجعل الجنين يتحرك في الشهر الثالث؟
يبدأ الشهر الثالث من الحمل بحلول الأسبوع التاسع حتى نهاية الأسبوع الثالث عشر (9 إلى 13),"متى يبدا الشهر الثالث؟
"
"تكون الأعراض المزعجة في ذروتها خلال هذا الشهروتنخفض بحلول نهايته، وتتلخص أبرز التغيرات والأعراض فيما يلي:
•	الغثيان والتقيؤ.
•	التعب والإرهاق.
•	الإمساك والغازات.
•	تغيرات الثدي، مثل: التورم، والحكة، وتغير لون الحلمتين للون غامق.
•	كثرة التبول.
•	حرقة المعدة.
•	زيادة الإفرازات المهبلية.
•	التقلبات المزاجية.
•	الانزعاج من بعض أنواع الطعام وبعض الروائح.
•	اشتهاء تناول أنواع معينة من الطعام.",ما هي أبرز التغيرات الجسدية في الشهر الثالث من الحمل؟
